seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Cecilia,Ramos,55,Upuad Circle,Voutaoj,RI,72283,$4232.25,GREEN,02/11/1971
2,Christina,Delgado,39,Faszu Heights,Putijsoh,ID,63419,$7475.95,WHITE,01/07/2014
3,Gavin,Rodgers,18,Kilip Lane,Owhufigu,OK,26136,$5947.37,BLUE,11/07/1975
4,Mable,Phillips,30,Sovu Grove,Notapitom,VT,29085,$3814.40,RED,06/29/2064
5,Lucas,Franklin,37,Mecisi Trail,Rilkavbut,NM,50127,$8239.41,BLUE,01/24/1959
6,Craig,Summers,31,Jiuke River,Wuclosop,SC,77782,$2017.02,WHITE,12/21/2064
7,Mathilda,Pierce,30,Coku Junction,Cojneido,OR,48576,$9999.20,WHITE,10/23/2062
8,Andre,Simon,21,Begjib Drive,Viokokud,NH,05878,$8818.49,RED,03/28/1994
9,Mamie,Moran,39,Nukjil View,Gawbija,DE,41894,$567.06,YELLOW,10/04/2039
10,Ethel,Fletcher,46,Wofbap Place,Kutucos,OR,16866,$3807.51,WHITE,12/20/2007
11,Grace,Reid,45,Davis Terrace,Ligoluh,NC,60422,$2705.18,WHITE,12/07/1903
12,Erik,Lawrence,31,Assi Parkway,Degotwe,MO,22055,$8424.86,GREEN,01/12/2034
13,Kevin,Erickson,45,Memel Lane,Citrutos,LA,67031,$4515.70,WHITE,02/11/2064
14,Claudia,Hart,22,Birtor Pike,Jaczafdan,WA,83792,$3680.49,WHITE,07/13/1904
15,Georgie,Pierce,53,Kiwlod Parkway,Repjomoh,UT,13978,$6157.76,BLUE,12/17/1923
16,Esther,Barton,24,Hewe Grove,Reljuspuh,LA,56112,$3934.58,YELLOW,08/16/1952
17,Lillian,Barber,18,Cewco Mill,Awbadal,NM,92873,$5889.83,BLUE,02/13/2048
18,Lizzie,Mack,54,Azce Extension,Socume,IL,16005,$7585.05,WHITE,02/04/2053
19,Viola,Ramsey,62,Buzwo Terrace,Jofjonti,IL,83556,$4702.70,RED,09/20/1960
20,Olive,Floyd,65,Zipi Circle,Onotocwe,TX,52907,$1489.48,YELLOW,03/01/2037
21,Stephen,Rice,24,Wenik Way,Juapsu,MT,75713,$9641.67,YELLOW,11/10/1989
22,Brent,Maldonado,43,Vesef Glen,Inamapu,NJ,92384,$1646.29,YELLOW,07/20/2065
23,Ethan,Wood,26,Ejidop Center,Neceviek,ND,23782,$9573.08,WHITE,07/12/2029
24,Ethel,Sparks,47,Sudti Circle,Figeweke,MA,26867,$9196.62,GREEN,08/18/2041
25,Zachary,Farmer,48,Poje Extension,Sozzucvak,ND,09450,$5358.62,RED,05/08/1956
26,Rosie,Day,32,Egiad Terrace,Sejzeta,NM,33415,$597.49,RED,01/24/1939
27,Alberta,Brewer,43,Horci Grove,Arowocat,PA,98508,$7494.88,BLUE,09/14/2051
28,Derek,Dean,40,Lumva Mill,Nanelih,HI,64194,$2698.49,RED,04/06/1905
29,Roxie,Carter,34,Anbo Pike,Salomun,AK,86446,$2523.33,RED,03/26/1957
30,Brian,Woods,37,Kecej Park,Upgatke,CO,28452,$2184.95,BLUE,11/16/1985
31,Gabriel,Frazier,25,Facnil Lane,Ruadoeki,NC,57693,$5763.91,WHITE,04/05/1975
32,Carl,Stanley,25,Elhov Glen,Rikaruhi,KS,25682,$5742.83,BLUE,09/08/1960
33,Lloyd,Burton,61,Rauh View,Parfaske,ME,54689,$2613.47,BLUE,07/05/2068
34,Andrew,Leonard,43,Murne Grove,Akcuzuz,HI,07898,$9053.15,BLUE,06/14/1904
35,Lora,Pope,54,Evenub Turnpike,Ovimevapa,OR,23022,$9241.99,WHITE,06/25/2005
36,Wesley,Waters,56,Ohica Park,Ziphaoh,MA,48605,$5664.55,YELLOW,01/16/1972
37,Don,Wilson,53,Jivuk Center,Lohjorned,PA,19275,$8535.73,GREEN,01/08/1909
38,Nora,Gregory,41,Lajip Loop,Punewesi,MD,47953,$1427.81,BLUE,06/08/2015
39,Dylan,Hale,63,Lefo Terrace,Devizhe,AL,30792,$4277.58,YELLOW,08/08/1918
40,Mabel,Douglas,56,Lufug Mill,Nemadwo,MD,86502,$5233.63,GREEN,04/18/1965
41,Linnie,Dunn,42,Ilopil Path,Gacuzmo,NJ,77348,$6795.23,BLUE,10/26/1983
42,Mario,Holt,51,Wofom Highway,Ujatiwi,TX,01477,$9751.24,GREEN,09/25/1967
43,Viola,Bryant,49,Ikuped Path,Ehetahiwo,VA,74347,$6009.79,YELLOW,02/04/2005
44,Shane,Mendez,37,Gefuj Square,Uvhismar,NJ,77834,$9452.42,GREEN,09/16/1984
